0,1,2,3,4
The Reform Club (Amagansett),,"Set upon five idyllic acres, Amagansett’s Reform Club feels like a well-manicured family estate rather than a hotel: guest rooms, all white and airy, are mostly housed in the property’s main brown-shingled house. For bigger groups—or those just wanting more space—several cottages dot the grounds.","Concierge service, in-room spa appointments, complimentary bicycles",
A Room at the Beach (Bridgehampton),,"The service is laid back and familial: there’s a wicker cooler filled with free bottles of rosé and fruit for guests to enjoy at their leisure, and in each guest room is a list of restaurant recommendations compiled by the owners. And the best part? The location—mere minutes from Bridgehampton town and just a short bike ride from the beach.",,"Address: 23 Windmill Lane, Amagansett, NY 11937"
Baron’s Cove (Sag Harbor),,"While many Hamptons hotels lean into a beachy clapboard aesthetic, Baron’s Cove—located in the historic whaling town of Sag Harbor–embraces the nautical: navy blue is the interior color of choice, while anchors and ropes serve as accents. Most of its 67 guest rooms boast a harbor view, inviting you to wake up and gaze upon the sailboats.","Pool, restaurant, bar, tennis court, complimentary bicycles, free beach shuttle service","Address: 31 West Water Street, Sag Harbor, NY 11963"
The Surf Lodge (Montauk),,"In terms of offerings, EHP Resort has plenty—there’s a swimming pool, a tennis court, a marina for those traveling in via boat, a breakfast café that serves buttery croissants for breakfast, and a boutique that carries both beachy homewares and designer dresses. Then there’s Sí Sí, the buzzy waterfront restaurant that, thanks to its unparalleled sunset views, has become one of the hardest reservations to get in the Hamptons.","Pool, restaurant, bar, tennis court, fitness center, resort shop, beach shuttle, concierge service, marina","Address: 295 Three Mile Harbor Hog Creek Rd, East Hampton, NY 11937"
The Roundtree (Amagansett),,"The Roundtree’s rolling lawn flows right into the corn crops of Amagansett’s Balsam Farm, making it feel equal parts country and beach escape. Stay in one of the guest rooms in the 100-year-old renovated barn, or opt for a cottage complete with its own outdoor stone patio. Located just off of Highway 27-A—and therefore, Amagansett's main town—you can simply walk a couple of feet on the sidewalk and find yourself among all the charming shops the hamlet has to offer.","Continental breakfast, complimentary bicycles, beach shuttle, beach parking passes, evening s’mores and popcorn","Address: 273 Main Street, Amagansett, NY 11930"
The Pridwin (Shelter Island),,"This impeccably designed boutique hotel is perched right upon the Atlantic Ocean—making it perfect for families, or anyone who wants to immerse themselves in the surf culture that Montauk is known for. (Fittingly, they offer private lessons and have a surf shack on site.) Their courtyard has fire pits for roasting s’mores, a bar that serves chilled glasses of rosé, as well as a mostrador—an Uruguayan-inspired café that specializes in dishes made with local produce and seafood.","Spa, pool, tennis court, kids programming, Beach access with private loungers and restaurant, firepits, complimentary bicycles, kayaks, paddleboards, live entertainment, fitness center","Address: 21 Oceanview Terrace, Montauk, NY 11954"
,,"Address: 81 Shore Rd, Shelter Island, NY 11964",,
The Four Seasons Hotel at The Surf Club (Surfside),,"With all that in mind, Vogue’s selected our favorite hotels to live out your Miami fantasies—whether they’re filled with vice or virtue.",,
The Faena (Mid-Beach),,"The Faena, with its bold red awnings, gold-leaf ceilings, and unabashed embrace of animal print, exudes a dramatic, disorderly glamor. Which, for many in Miami, is exactly what you want—this is the city, after all, known for its magnetic atmosphere of neon lights, pool parties, and nightclubs. The Faena allows you to indulge in this maximalist energy without sacrificing comfort: its guest rooms have Carrara marble bathrooms and private butlers, while its restaurant, Los Fuegos, is helmed by Michelin-starred chef Francis Mallman. Then, there’s its famous art glass-encased mammoth titled “Gone But Not Forgotten,” by Damien Hirst. (Go ahead, take a picture—you know you want to.)",,
Soho Beach House (Mid-Beach),,"Meanwhile, the rooms—featuring tiled floors, exposed wood beams, and palm-decorated curtains—exude an English country home meets Miami bungalow ambiance, whereas the Cowshed spa is the perfect play to amp up for (or wind down from) the famed Miami social scene. Which, by the way, you may not even need to leave the hotel for—from day to night, the atmosphere at Soho Beach House is always lively.",,
East (Brickell),,,,
,https://www.drexelmiami.com/,"Best of all is their restaurant The Drexel, which is the second Miami restaurant from the famed team behind the beloved Design District haunt Mandolin. Here, the emphasis is on clean flavors, with a charcoal grill and wood oven producing wild prawns, smoked guanciale pizza, and roasted eggplant. Don’t miss their 10-dollar wine happy hour.",,
Castello di Vicarello,,"There’s a magical quality to driving through the winding roads of the Tuscan countryside. The evocative landscape of rolling hills and sweeping vineyards studded with cypress trees and its cluster of medieval towns and bucolic farmhouses always feels like a celluloid moment. Yet while a visit to Tuscany is always a good idea, in my opinion, the fall is the very best time to visit—when the endless green vistas begin to ripple with varying shades of orange, red, and yellow foliage and the scent of the harvest perfumes the crisp autumnal air.",,
,,"At Castello di Vicarello, you can be a part of the grape harvest beginning in September, where you’ll begin in the heart of the vineyards and learn how to properly harvest the grapes grown on the estate, as well as enjoy a personal masterclass in wine production before indulging in a seasonal Tuscan lunch. You’ll get to experience the olive harvest in October and November by picking olives in the olive grove and visiting the mill, then sample the freshly pressed olive oil during a traditional three-course lunch.",,
Borgo Santo Pietro,,,,
Hotel Castello di Reschio,,,,
,,"For an even deeper culinary experience, guests can accompany the chef for a spot of truffle hunting before returning to the hotel for lunch, where they’ll sample their new-found truffle as well as the estate’s very own olive oil, wine, and honey.",,
Monteverdi Tuscany,,,,
"Castello di Casole, A Belmond Hotel",,,,
Castello Banfi Wine Resort,,"At Castello di Casole, A Belmond Hotel, the luxury property contains 39 rooms, a traditional Tuscan restaurant, a pool and spa, an ancient amphitheater, a vineyard, olive groves and even a game reserve. The hotel offers various activities to reap the benefits of Tuscany’s majestic fall season—from sunset safari tours to guided hikes through the ruins of the old abbey. The 25 acres of organic vineyard produce Cabernet, Sangiovese, Merlot, and Petit Verdot varieties, while the 30 acres of olive groves, which are harvested each fall, produce only 2,500 bottles of the estate’s private-label extra virgin olive oil annually for exclusive use at Castello di Casole.",,
,,"As this is a wine resort, a glass of Brunello is never far away and always best experienced after harvest in the fall. Guests can book a tour of the winery followed by a four-course lunch paired with wines at the Taverna or indulge in the various tastings offered at the enoteca.",,
,,"All of which is to say, there’s never been a better time to visit the region. Here, Vogue rounds up seven of the best hotels in Puglia to visit this summer—and return to, again and again.",,
Borgo Egnazia,https://www.borgoegnazia.com,"Walking through the cobbled streets that comprise Borgo Egnazia as the evening light casts a golden glow over the clocktower, you wouldn’t guess for a moment that this sprawling, breathtakingly beautiful property was only built in 2010. That’s right: Every one of Borgo Egnazia’s meticulously designed rooms, suites, and villas—183 in total—might appear centuries-old on the surface, but they reach a world standard in luxury mod cons. (Rumor has it that architect Pino Brescia, a native Puglian who was hired for his knowledge of the quirks of the region’s traditional building techniques, even went around chipping at the walls with a chisel to ensure the creamy local sandstone looked as authentically weathered as possible.) When you find yourself getting pleasantly lost in Borgo Egnazia’s alleyways, it’s clear that was part of the plan.",,
,,"While Borgo Egnazia is very much the brainchild of couple Aldo Melpignano and Camilla Vender—the latter also runs an exquisitely curated boutique, Bottega Egnazia, as part of the hotel complex—the story actually runs a generation further back; specifically, to Melpignano’s parents. After establishing Masseria San Domenico, the first luxury hotel in the region in 1996, Sergio and Marisa Melpignano played a crucial role in establishing Puglia as the growing tourist hotspot it is today by making a conscious effort to market the region abroad. With Melpignano and Vender’s willingness to both take up the mantle and push that vision to the next level, the wildly ambitious Borgo Egnazia project came to be.",,
,,"There are almost too many experiences available at Borgo Egnazia to list: two beach clubs, a golf course, an atmospheric spa inspired by Roman baths, vintage car tours, cooking classes, oil and wine tastings, and trekking. But despite the enormous scale of the complex and the near-overwhelming number of things to do, there’s an innate sense of calm that radiates from the property’s white stone walls, as well as a sense of total privacy within each of the bedrooms or casette suites, named quite literally after “little houses.” (This feeling of seclusion is undoubtedly a reason why it’s become a particular celebrity favorite, most famously hosting Justin Timberlake and Jessica Biel’s 2012 wedding. Recent guests have included Victoria and David Beckham.) Borgo Egnazia’s tagline is “nowhere else”—after a few days in paradise there, you’ll find it impossible to disagree.",,
Castello di Ugento,https://castellodiugento.com/,"In the region of Salento, 15 minutes or so inland from the white sandy beaches that line the peninsula’s southern tip, lies the tranquil town of Ugento. And at its heart sits Castello di Ugento, the impressive castle at the town’s highest point. Most of what is visible today was constructed in the 17th century, but it also features the foundations of an 11th-century Norman tower, rediscovered while the building was being lovingly refurbished half a decade ago, and that can now be seen through glass floors in the dining area.",,
,https://www.masserialemandorle.com,"It’s the kind of attention to detail—and instinct for preservation—that characterizes the property’s restoration at the hands of Massimo d’Amore and his partner, Diana Bianchi. (The d’Amore family’s ownership of the castle dates all the way back to its 17th-century splendor.) Nine individually decorated rooms are complemented by an orchard garden as well as a sister property a few minutes down the road, Masseria Le Mandorle, that features a swimming pool and slick sports facilities.",,
,,"A major highlight here is the food: The hotel restaurant, Il Tempo Nuovo, sees chef Tommaso Sanguedolce put an impressively fresh and unfussy twist on traditional Puglian cuisine, while the now well-established Puglia Culinary Centre offers cooking courses and classes for everyone from beginners to Michelin-star chefs wanting to learn more about Italian cuisine. Finally, there’s an impressive series of rooms on the building’s piano nobile featuring Baroque frescoes that have been recently restored, within which Bianchi is gearing up to stage a series of exhibitions featuring contemporary artists both local and from further afield. When it comes to offering opportunities for Puglian cultural immersion, Castello di Ugento is hard to beat.",,
Masseria Torre Maizza,https://www.roccofortehotels.com/hotels-and-resorts/masseria-torre-maizza/,"Masseria Torre Maizza, found in the cluster of luxurious masserias that have sprung up between the towns of Fasano and Savelletri, was established as one of the first high-end stays in the region back in the 2000s. Since being taken over and refurbished by Rocco Forte Hotels in 2019, however, the property has found a new lease on life. In many ways, it’s the quintessential vision of a relaxed masseria holiday with all of the rustic details of a typical farm stay: a sparkling blue pool, fresh fruit, bicycles to ride through the olive groves. But it’s the details found in its interiors and dining that elevates it, largely thanks to the aesthetic vision realized by Olga Polizzi, Rocco Forte’s sister and the chain’s design director. The hotel’s gorgeous restaurant, for example, sits within a pergola draped with ivy and roses overlooking the property’s orchard.",,
,,"There’s a sense, when at Masseria Torre Maizza, that time has stopped. The large pool area features a bar offering crisp local wines and creative riffs on Italian aperitivi. The spa is stocked with products by Forte’s daughter, Irene, with scrubs and oils directly inspired by the Mediterranean botanicals of southern Italy. (Despite being a hotel group, Rocco Forte’s relatively modest size ensures much of its most welcoming details are those which have been kept within the family.) It’s a small slice of heaven that feels almost specifically designed for you to laze away a summer’s afternoon under an orange tree, book in hand, as a cool sea breeze rustles through the trees.",,
Palazzo Daniele,https://palazzodaniele.com,"Another option in the Salento region is Palazzo Daniele, found in the small but inviting town of Gagliano del Capo that is merely five minutes drive from some of the region’s most spectacular beaches. Yet the real delights of Palazzo Daniele lie within its own 19th-century walls, which, despite being smack in the center of town, include peaceful gardens and a beautifully outfitted swimming pool. The hotel’s playful but tastefully realized decor is partly the result of its previous life hosting artist residencies. Its owner, former lawyer and art collector Francesco Petrucci, decided to collaborate with his friend Gabriele Salini—who also owns the modish G-Rough hotel in Rome—to convert the property into a 10-room boutique stay that opened in the spring of 2019.",,
,,"The result is a charming mish-mash of ceiling frescoes with cutting-edge contemporary art, sympathetically reconciled by the Milanese architects and designers Ludovica and Roberto Palomba. The monastic plaster walls have been left largely untouched, their weathered surfaces and cracks kept intact, with any interventions largely offered by artist-designed light fittings and the occasional piece of carefully placed modernist furniture. Each room contains its own unexpected details. The bathroom might be accessed by a narrow staircase that once included a secret passageway that extended all the way to the nearby beaches, while even a more conventional en suite features a rain shower in the middle of the room with a shell-like basin, so you can live out your best Birth of Venus fantasy.",,
,,"Again, the culinary offering is a major highlight here. An open kitchen means you can help yourself to pastries or request eggs your way in the morning with the help of local cooks whose families have lived in the town for generations; at lunch, they’ll prepare a meal of however many courses you can handle in the shaded area by the pool, all sourced from local farmers. At night, the outdoor area transforms once again, with string lights sparkling in the trees and an on-site bartender ready to whip up one of their signature inventive cocktails. The hotel’s motto is “questa casa non è un albergo,” or “this house is not a hotel,” a fact that is reflected in the generously proportioned shared living areas and the open bar built around a former religious shrine. Petrucci, who previously kept an apartment within the complex that was recently converted into the hotel’s newest accommodation, the Black Suite—demonstrates it’s more than just a tagline. After a few hours within Palazzo Daniele, you’ll feel like the place is yours too.",,
Masseria Calderisi,https://www.masseriacalderisi.com,"A relative newcomer to the scene—and all the more energetic for it—Masseria Calderisi was established last year by its charismatic German owners, Max and Jutta von Braunmühl, who fell in love with Puglia in the 2000s and married in the region a decade ago. (The pair, and their children, can often be found mingling with guests, whether escorting them to the sea in a four-wheel drive or stopping by their dinner tables for a digestivo.) There’s an exuberant feeling about this property, evident in the range of activities on offer—an afternoon at their private strip of beach, a boat trip along the Adriatic, or a body scrub at the spa with honey, salt, and lemon from the masseria’s gardens—as well as in its lovely boutique which stocks local ceramics, jams, and olive oils alongside casual pieces and beachwear from the likes of Etro, Max Mara, and Missoni.",,
,,"This sense of warmth and liveliness extends to the impeccable hospitality, which manages to be friendly and keenly attentive without ever feeling overbearing. So too is it visible in the organic conviviality between guests, many of whom are clearly satisfied to chat about finding this undiscovered gem within the region’s ever-growing number of luxury masserias. If you’re looking to strike up conversation with those on the sun lounger next to you, there’s no awkwardness here; you might even bump into them again while participating in a morning bread-baking session in the hotel’s restored wood-fire oven, or at the pizza party in the large courtyard that takes place twice a week. Masseria Calderisi is a slice of classic Puglian paradise with a fresh, youthful-feeling twist.",,
Paragon 700 Boutique Hotel & Spa,,,,
,,"The expansive bar area is Baroque by way of Tim Burton: statues of macabre grinning monkeys sit next to defaced reinterpretations of Renaissance paintings, while candelabras dripping with red wax line the tables where artist-designed sofas are upholstered with sewn-together silk ties. The hotel’s 11 individually designed rooms are intentionally more relaxed, with frescoed ceilings, warm lighting fixtures, and stonewashed linen sheets. Despite the flamboyant trappings of its decor, however, both wellness and sustainability are a priority here. The spa, reached by glass elevator and built into the underground caves that are atmospherically lit with candles, feature a hydromassage basin, a Turkish bath, a Himalayan salt wall, and even a natural whirlpool dug deeper into the ground. Meanwhile, the hotel’s commitments to micro-CHP energy, zero plastics, and local construction materials are also notable.",,
,,"Probably the biggest facet of Paragon 700’s appeal, though, is its prime location within Ostuni, one of the most popular tourist destinations in the region, but that somehow manages never to feel wildly overcrowded. Getting lost in the city’s labyrinth of alleyways and admiring its Gothic cathedral are unmissable elements of a Puglian vacation all on their own—but knowing you can return to the homely environs of Paragon 700 for a refreshing dip in the pool, a cocktail as delightfully offbeat as the decor, and finally a meal in their gourmet, open-kitchen Restaurant 700 to round off the evening makes the experience all the sweeter.",,
Castle Elvira,https://www.castleelvira.com/,"A new opening for 2022, Castle Elvira sits atop a picturesque ridgeway 20 minutes or so outside of the historic city of Lecce, surrounded by 37 acres of wild gardens, olive and citrus groves, and lush parkland. But the real star of the show is the castle itself: according to legend, it was built in the early 20th century by a Neapolitan family for their teenage daughter Elvira, who died soon after, leaving the castle abandoned for over 100 years. In 2018, a British couple purchased the property and set about reviving it to its former glories—albeit with a very 21st-century twist.",,
Baglioni Masseria Muzza,,,,
,https://www.baglionihotels.com/branches/baglioni-masseria-muzza/,"Arguably the year’s splashiest new opening in Puglia comes courtesy of Baglioni Hotels & Resorts, the Italian-owned and run luxury hotel group placing a particular emphasis on the country’s cultural hotspots—and their latest property, located a few miles out of Otranto and overlooking the idyllic Lake Alimini, doesn’t disappoint. Masseria Muzza is a sprawling complex of 17th-century whitewashed farmhouses that have been sensitively updated to feature all of the uber-deluxe mod cons you’d expect from a hotel of its caliber.",,
,,"Those who need to be by a body of water at all times to truly relax will find succor here. The jewel in Masseria Muzza’s crown is its enormous infinity pool—featuring in-built hydromassage loungers and island platforms—for cooling off in the Puglian summer heat, while a shuttle service will whisk you away to a nearby beach in central Otranto with a dedicated area and sunloungers if you fancy a dip in the sea. (The hotel is also mere minutes away from the sparkling blue waters of one of the region’s most breathtaking beaches, the Baia dei Turchi.) Elsewhere, a cavernous spa complex features every amenity you could dream of, from an ice fountain to a Finnish sauna to a steam bath.",,
La Fiermontina,,"Equally top-notch are the hotel’s culinary offerings, from a relaxed poolside restaurant perfect for enjoying a lazy lunch of salads and light pasta dishes to the restaurant in the evening—decorated with the region’s famously flamboyant luminarie, or twinkling colored lights, and surrounded by lemon trees—which offers local cooking alongside wood-fired pizzas. (There are also gourmet tasting menus on offer at the resort’s third restaurant, Le Site, if that’s your bag.) If it’s pure, unadulterated indulgence you’re seeking, Masseria Muzza is the one to beat.",,
,,"If you’re looking for the perfect city base to explore the south of Puglia, look no further than Lecce, the Salento town whose historic center is packed with dozens of churches and palazzi decorated with intricate Baroque carvings cut from the local limestone. (Throughout the day, as the natural light shifts, they seem to almost magically change color.) And if you’re then looking for somewhere to stay in the heart of the city, the names to know are La Fiermontina and its sister property Palazzo Bozzi Corso.",,
,,"The former sits on the outskirts of the centro storico, thus featuring an unusual amount of space for a city stay in the typically narrow, winding streets of the region, as well as 18 individually designed rooms that blend the traditional trappings of Pugliese decor, from crisp white linens and cream stone walls, with elegant mid-century furniture in muted tones arranged just so. And that’s without mentioning the lush gardens and perfectly sized pool surrounded by olive trees, ready for when you need to cool off after a day of wandering Lecce’s bustling markets and museums.",,
Palazzo Ducale Venturi,,"Palazzo Bozzi Corso, meanwhile, is situated slap-bang in the middle of the city, just steps away from the breathtakingly ornate facade of the Basilica di Santa Croce. Step into the courtyard of this historic palazzo from the busy street outside, however, and an atmospheric hush takes over (and that’s before even heading down to its subterranean wellness space). The interiors speak to the design nous of its owners, the Fiermonte family—the high-ceilinged rooms on the piano nobile best show off their masterful eye for color and proportion—and its the rich history of the family and their guardianship of the property that resonates most strongly, lending these two perfectly Leccese properties their beating heart.",,
,,"As with the best of Puglia’s gloriously grand townhouses, the Palazzo Ducale Venturi offers little suggestion from the outside of the treasure trove in store when you step through the pedestrian entryway cut into its grand wooden doors. Situated in the sleepy, charming town of Minervino di Lecce on the southwestern corner of the peninsula, 15 minutes or so west of the lively beach town of Otranto, the palazzo’s gardens—humming with wildlife, and featuring everything from a medieval well to a herb garden to columns overflowing with white bougainvillea—and an impossibly tranquil pool constitute its own small world.",,
Palazzo Presta,,"If you do wish to venture further, however, Palazzo Ducale Venturi sits in a perfect location to explore the southern tip of the boot, in particular the array of rocky coves and secluded beaches that dot the nearby shoreline. But thanks to its particularly impressive food offering—chef ​​Antonio Russo offers elevated takes on Salentine cooking with a particular emphasis on mouth-wateringly fresh seafood—and a small but cutting-edge spa area that features an underground pool converted from an ancient oil mill, you don’t even really need to leave the four walls of its domain anyway.",,
,,"Palazzo Presta is located in Gallipoli, a somewhat off-the-beaten-track town on the west coast of Salento that, before you ask, bears no relation to the Turkish peninsula of the same name. And as far as the city’s selection of hotels go, Palazzo Presta stands head and shoulders above the rest. Not only is it right in the beating heart of Gallipoli’s historic island old town (and merely a few hundred yards from its convenient, centrally located beach, the Spiaggia della Purità) but Palazzo Presta’s achingly stylish interiors would be worth the trip alone.",,
,,"Its owners, Eugenia and Antonio, have reinvented its rabbit warren interiors to balance in-the-know nods to design history with a sense of worldly eclecticism, the walls decorated in bold colors and adorned with everything from maritime flags to vintage Japanese prints to racy contemporary photography. The real star of the show, however, is its rambling, two-story rooftop terrace, which features views over the city that can be enjoyed from plush striped seating—and, of course, an inventive cocktail courtesy of the terrace’s dedicated rooftop bar, open every evening just in time for a sundowner.",,
,https://www.hyatt.com/en-US/hotel/california/andaz-san-diego/sanas?mckv=s6iki8gil_pdv_c_pcrid_329942533107_pmt_e_pkw_andaz%20san%20diego_slid__pgrid_17090504210_ptaid_kwd-14839303254_&src=adm_sem_agn_pfx_crp_ppc_bps_D%20Brand-San%20Diego-NonGP_google_Brand-San%20Diego-AZ%20San%20Diego-Exact_e_andaz%20san%20diego_Brand_&gclid=EAIaIQobChMIu7abnrfX4AIVho2zCh1nzAHbEAAYASAAEgJKovD_BwE,"In the Gaslamp Quarter where nightlife abounds, the Andaz San Diego has a boutique feel (and a gorgeous rooftop pool), seemingly tucked away from the revelry. For the chicest retail in the area, take a 20-minute drive to La Jolla and shop on the cliffs overlooking the ocean. Walk the charming Girard Avenue, Prospect Street, and Coast Road, and drop into San Diego’s own Alexia María, where gowns and blouses alike come affixed with elegant bows. Don’t forget to stock up at standbys like Cos Bar and Ralph Lauren, and if you have a streetwear aficionado in the group, head straight to Youknow-Y. Round out the expedition with a visit to Warwick’s, the oldest continuously family-owned and operated bookstore in the U.S. Girard Avenue and Prospect Street, La Jolla, CA. alexiamaria.com",,
,https://www.hyatt.com/en-US/hotel/united-kingdom/andaz-london-liverpool-street/longe,"East London, United KingdomAcross from the Liverpool Street tube station and adjacent to the lively neighborhoods of Shoreditch and Brick Lane, Andaz London Liverpool Street is housed in a redbrick Victorian building that dates back to 1884. While the vintage stores in Brick Lane are beloved by London cool kids (Serotonin, Beyond Retro), and the Blue Mountain School concept space in Shoreditch—where food, music, and retail come together—is turning heads, the gold standard of luxury shopping is Browns East. In a converted printing factory, just a 15-minute walk from the hotel, the 47-year-old department store’s second location contains a strong edit: Off-White, Prada, Sies Marjan, Rick Owens, and Johanna Ortiz, as well as avant and emerging designers only found at that location to meet the offbeat sensibilities of East London clientele. A café, exhibition gallery, and immersive experience room (where you might catch a meditation session) will also be part of your trip. East 21 Club Row, London, E2 7EY; brownsfashion.com.",,
,https://tokyo.andaz.hyatt.com/en/hotel/home.html,"Tokyo, JapanHigh in a skyscraper in the Toranomon district, Andaz Tokyo Toranomon Hills has views overlooking the Rainbow Bridge, Tokyo Bay, and Ginza. Lucky for guests, the latter is long known as the city’s shopping hub. While its main thoroughfares are lined with sizable shopping malls, quirky toy stores, and every global luxury brand imaginable, to narrow down a shopping trip to a more targeted outing, visit Dover Street Market, which, like its London and New York City locations, was brought to Ginza courtesy of founder Rei Kawakubo. Inventive, envelope-pushing brands and art installations fill the market’s seven floors: Junya Watanabe, Chrome Hearts, Stephanie Quayle, Puma, Yayoi Kusama, Undercover, Moncler, Miu Miu, and more. Ginza Chuo-Ku, Ginza Komatsu West 6-9-5, Tokyo, Japan 104-0061; ginza.doverstreetmarket.com.",,
,https://www.hyatt.com/en-US/hotel/netherlands/andaz-amsterdam-prinsengracht/amsaz,"Amsterdam, NetherlandsSituated in the charming Nine Streets District, Andaz Amsterdam Prinsengracht is part of a neighborhood bursting with independent boutiques and businesses with personality: from Ace & Tate eyewear to Waxwell Records, The GameKeeper’s for a vast board game selection, and De Kaaskamer for the city’s best selection of cheese. To see what’s percolating in Scandinavian design, walk just 50 yards down the street to The Frozen Fountain, a playful contemporary furniture and interiors boutique that brings together Dutch designers of the moment with exciting local talent. If shipping home a salvaged wood table or colorful couch isn’t in the cards, there is plenty to hand-carry—from a Martijn Stelt wooly blanket animal to a resplendent coffee-table book of the works of Piet Hein Eek. Prinsengracht 645, 1016 HV, Amsterdam; frozenfountain.com.",,
,https://www.hyatt.com/en-US/hotel/canada/andaz-ottawa-byward-market/yowaz,"Ottawa, CanadaAs hustle and bustle goes, you couldn’t find a hotel closer to its center than Andaz Ottawa ByWard Market, where artisan-driven boutiques, florists, rare books, bakeries, and watering holes abound. Walking just a few blocks from the hotel to Sussex Drive lands you in the city’s high-end fashion corridor, where you’ll want to stop off at Schad. The women’s fashion boutique, known for its chic husband-and-wife owners as well as its collection of U.S., European, and Canadian brands, boasts Frame, DL1961, Veronica Beard, and Nicole Benisti, and frequently has the Meghan Markle coat of the moment in stock. 521 Sussex Drive, Ottawa, Canada; schad.ca.",,
,http://www.fourseasons.com/paris/,"The Penthouse at the Four Seasons Hotel George V, ParisIf you’re on a search for a home à la Parisienne, look no further than the Penthouse at the Four Seasons Hotel George V. A foyer lined with floor-to-ceiling windows, white orchids, and lights beaming from the floor make for a grand entrance. Your senses are further stimulated by the soothing pastel hues and softened golden tones that dress the elegant pied-à-terre throughout. Make your way to the bathroom, and you’ve entered into your own personal oasis, where a one-ton marble infinity tub, with a chromotherapy system, rivals an oversize walk-in shower. Natural light floods in and more white orchids are encased in glass displays—it’s airy, it’s bright, and it’s downright magnificent. Furthermore, the bedroom has its own balcony outfitted with a sunbed, a posh living room furnished with a bookcase filled with antique books, and a marble mosaic–floor parlor fit for an intimate gathering. But the pièce de résistance is the terrace that opens out from the conservatory, where views of the Eiffel Tower are meant to be savored and that is undoubtedly the best spot for FOMO–inducing Instagrams (don’t forget to include a lovely breakfast spread). Walk up the adjacent spiral staircase and you’ll find yourself at a small landing where you feel like you’re far removed from everyone and everything else. It’s easy to spend hours up there, taking in breathtaking views of the city, preferably with a glass of Champagne in hand. But don’t get too hooked on room service; just a few floors below, you’ll find three outstanding eateries so good that they are all Michelin-approved, making the Four Seasons Hotel George V the first hotel in the country with a trio of starred restaurants.",,
,https://www.dorchestercollection.com/en/paris/hotel-plaza-athenee/,,,
,https://www.lareserve-paris.com/en/,,,
,http://paris.peninsula.com/en/default,"The Peninsula Suite at The Peninsula ParisJust steps away from the Arc de Triomphe sits the grandiose Peninsula Paris, where its sun-drenched main lobby welcomes you with a shimmering glass installation that resembles falling leaves, and a solarium-style rooftop restaurant presents views of the Eiffel Tower alongside seasonal cuisine made with ingredients handpicked at the markets by chef Sidney Redel every day. But make your way to the first floor and you’ll find the sprawling one-bedroom Peninsula Suite. Tai Ping carpets, a Yamaha piano, and sparkling Baccarat chandeliers hanging from soaring ceilings characterize the East-meets-West dwelling. To really up the ante, the room also has separate walk-in closets and bathrooms for you and your partner. But if you’re looking for something a little smaller, opt for the Katara Suite, where both a terrace and rooftop garden await your presence. Either way, guests of the themed accommodations and Garden Suite have complimentary access to the hotel’s Mini Cooper to help zip them around the city, as well as BMW electric bikes in the summer.",,
,http://www.leroyalmonceau.com/,,,
,http://www.shangri-la.com/paris/shangrila/,"La Suite Shangri-La at Shangri-La Hotel ParisLa Suite Impériale, originally Prince Roland Bonaparte’s private apartment, is easy to admire, but when staying at the Shangri-La in Paris, you have to go for a room with views of the Eiffel Tower. The hotel’s proximity to the famed masterpiece affords visibility from the base up and is best appreciated from the La Suite Shangri-La’s fully furnished teak balcony. The one-bedroom accommodation also touts panoramic windows and a luxurious marble-clad bathroom with heated floors. And while you’ll inevitably want to stay in the quarters every free second you have, make sure you pull yourself away long enough to enjoy a spectacular vegan afternoon tea at the shrouded La 8 Iéna terrace.",,
,https://parisvendome.park.hyatt.com/en/hotel/home.html,,,
,https://www.lebristolparis.com/eng/home/,,,
,http://www.mahoganysprings.com,"Mahogany Springs Safari LodgeTucked into the Virunga Volcanoes mountain range, this property comprises sun-splashed cottages and a sweeping main lodge overlooking the Munyanga River and the lush Bwindi Impenetrable Forest. Unwind next to the fireplace or on the wraparound terrace after a day of gorilla tracking; Bwindi is one of a small handful of places in the world where humans can come within feet of mountain gorillas, who eat, play, and nap without giving their visitors a second thought.",,
,http://www.wildplacesafrica.com/our-lodges-camps/apoka/,"Apoka Safari LodgeKidepo Valley National Park inhabits Uganda’s northernmost tip, a short distance from South Sudan and Kenya. This is the safari vacation you’ve always pictured: a dry, fawn-colored landscape dotted with Tim Burton–esque acacia shrubs and fat Kigelia trees, and the roar of lions rolling in from distant hills. Apoka Safari Lodge is a shocking oasis of luxury in the middle of the rugged savannah; there’s a stunning open-air main lodge, a curated handicraft shop, and even a luxe swimming pool, not to mention 10 handsome cottages with private terraces and outdoor stone baths. Come for the remoteness; on three half-day game drives, my group encountered elephants, zebras, giraffes, lions—and zero other jeeps.",,
,http://ugandaexclusivecamps.com/bakers-lodge/,"Baker’s LodgeOn the grounds of this Nile-front resort, a little sign posted next to a suspended rattan seat bears a warning: “Beware of crocodiles.” The reptiles, along with hippopotami, buffalo, baboons, monitor lizards, and a menagerie of other creatures, are wont to wander along the river, past this property’s plein air lodge, eight thatched “safari suites,” and little crops of outdoor seating. With Baker’s as a home base, go on a water safari past herds of elephants, hippos, and more crocs than you’d like, and stop at Murchison Falls National Park’s eponymous waterfall for a hike to the top: At the top, the Nile, miles wide at other points, squeezes over a gorge just 23 feet across.",,
,http://ugandaexclusivecamps.com/ishasha-wilderness-camp/,Crater Safari Lodge,,
